id,name,surnname,gender,phone,email,application_date,city,status,course,education_institution,academy,CV,can_manage_data,comment,Negotiation skills,Sales techniques,objections overcoming skills,presentations: tool for selling ideas,business communication skills,IoT devices testing,embedded programming,web programming,technical support,cad design engineering,electronics engineering
1,John Michael Stevenson,Turner,male,867765081,ihansen@yahoo.com,11/1/2021,Paoloberg,candidate,second stage 1,Kaunas University of Technology,Business to business,CVs/pvuTsSw9mV9uSqlFqNb5a8KFScUTd3QZPDkEqJVw.pdf,1,Moka SQL,0,1,1,1,0,0,0,0,0,0,0
2,Madelynn,Carter,male,862876817,mthompson@schaden.com,11/14/2021,Macejkovicchester,candidate,first stage 2,Kaunas University of Technology,Business to business,,1,Moka Symphony,0,0,0,1,0,0,0,0,0,0,0
3,Vernice,Gusikowski,female,860194429,rosina.schmitt@mcclure.info,11/2/2021,Violetburgh,candidate,graduated bachelor,Kaunas University of Technology,Business to business,,1,,0,0,0,0,0,0,0,0,0,0,0
4,Melody,Reichert,male,860547162,doug.terry@hotmail.com,11/5/2021,Jaedenmouth,candidate,first stage 1,Vilnius Gediminas technical university,Internet of things,,1,,0,0,0,0,0,0,1,0,1,0,0
5,Wilma,Beatty,male,868062056,walker.rolfson@nienow.com,11/11/2021,Lake Elta,candidate,second stage 1,Kaunas University of Technology,Business to business,,1,,1,0,1,0,0,0,0,0,0,0,0
6,Ramona,Reichert,male,867049070,wunsch.jeanette@hotmail.com,11/18/2021,Gerhardfurt,candidate,first stage 3,Vilnius Gediminas technical university,Internet of things,,1,,0,0,0,0,0,0,0,0,1,0,0
7,Heloise,Schaden,female,861459282,goyette.liana@yahoo.com,11/12/2021,Port Brenna,candidate,second stage 2,Vilnius Gediminas technical university,Business to business,,1,,0,0,0,0,1,0,0,0,0,0,0
8,Modesta,Nikolaus,female,860481279,kristin91@vandervort.com,11/9/2021,Cruickshankmouth,candidate,second stage 2,Kaunas University of Technology,Business to business,,1,,1,1,0,0,0,0,0,0,0,0,0
9,Rosetta,Witting,female,869467977,nikolaus.lucio@streich.com,11/29/2021,Reichertport,candidate,first stage 3,Vilnius Gediminas technical university,Business to business,,1,,1,0,0,1,1,0,0,0,0,0,0
10,ĄĖĄČĘĖČĘĮėčęąę,šĘČĖĖĄĮėčįįęšįūšūčą,female,860465539,lelia.hoppe@bashirian.com,11/11/2021,West Meaghanfort,candidate,first stage 4,Kaunas University of Technology,Internet of things,,1,,0,0,0,0,0,0,1,0,0,0,0
